,WSAID,PROEVEAAR,simple_mean,sd,n,weighted_mean,Hardness,Hardness_class
1,1000,1982,14.4,,1,14.4,14.4,Fairly hard
2,1000,1983,13.1,,1,13.1,13.1,Fairly hard
3,1000,1984,11.3,,1,11.3,11.3,Medium hard
4,1000,1985,11.6,,1,11.6,11.6,Medium hard
5,1000,1986,13.4,,1,13.4,13.4,Fairly hard
6,1000,1987,12.1,,1,12.1,12.1,Fairly hard
7,1000,1988,11.7,,1,11.7,11.7,Medium hard
8,1000,1989,14,,1,14,14,Fairly hard
9,1000,1991,12.1,,1,12.1,12.1,Fairly hard
10,1000,1993,13.5,,1,13.5,13.5,Fairly hard
11,1000,1998,12,,1,12,12,Medium hard
12,1000,2001,12.7,,1,12.7,12.7,Fairly hard
13,1000,2004,12.6,,1,12.6,12.6,Fairly hard
14,1000,2007,12.6,,1,12.6,12.6,Fairly hard
15,1000,2008,11,,1,11,11,Medium hard
16,1000,2009,12.6,,1,12.6,12.6,Fairly hard
17,1000,2010,11.5,,1,11.5,11.5,Medium hard
18,1000,2011,12.5,,1,12.5,12.5,Fairly hard
19,1000,2012,12.6,,1,12.6,12.6,Fairly hard
20,1000,2013,11.9,,1,11.9,11.9,Medium hard
21,1000,2017,11.9,,1,11.9,11.9,Medium hard
22,1000,2022,11.3,,1,11.3,11.3,Medium hard
23,1001,1997,13.6,,1,13.6,13.6,Fairly hard
24,1001,1998,14,,1,14,14,Fairly hard
25,1001,1999,13.2,,1,13.2,13.2,Fairly hard
26,1001,2000,13.6,,1,13.6,13.6,Fairly hard
27,1001,2001,13.7,,1,13.7,13.7,Fairly hard
28,1001,2004,14.9,,1,14.9,14.9,Fairly hard
29,1001,2007,15,,1,15,15,Fairly hard
30,1001,2008,14.2,,1,14.2,14.2,Fairly hard
31,1001,2009,15.4,,1,15.4,15.4,Fairly hard
32,1001,2010,13.2,,1,13.2,13.2,Fairly hard
33,1001,2011,14.7,,1,14.7,14.7,Fairly hard
34,1001,2012,14.7,,1,14.7,14.7,Fairly hard
35,1001,2013,14.4,,1,14.4,14.4,Fairly hard
36,1001,2014,17.9,,1,17.9,17.9,Fairly hard
37,1001,2015,14.9,,1,14.9,14.9,Fairly hard
38,1001,2016,13.9,,1,13.9,13.9,Fairly hard
